,external_urls,followers,genres,href,id,images,name,popularity,type,uri
0,{'spotify': 'https://open.spotify.com/artist/4dwdTW1Lfiq0cM8nBAqIIz'},"{'href': None, 'total': 3167479}","['folk-pop', 'indie pop', 'metropopolis', 'modern alternative rock', 'modern rock', 'pop rock', 'stomp and holler']",https://api.spotify.com/v1/artists/4dwdTW1Lfiq0cM8nBAqIIz,4dwdTW1Lfiq0cM8nBAqIIz,"[{'height': 640, 'url': 'https://i.scdn.co/image/97a412c24c8b5b59c9445effcee1971b93a99866', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/abb00afac0caf5c6cac36652949a71aa8998cf27', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/be1db62a6ddeef129a7947c2689562b88cd13cec', 'width': 160}]",Of Monsters and Men,75,artist,spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz
1,{'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'},"{'href': None, 'total': 39972487}","['pop', 'post-teen pop']",https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02,06HL4z0CvFAxyc27GXpf02,"[{'height': 640, 'url': 'https://i.scdn.co/image/8389f45cac7a58e3ab67a3bdeb5b4a0f9d8f7919', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ca417f738fca37ef08447d45f9c32e2650f48a86', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/02e96fdf26f6a3b1d435f163831ea50f7d2abb55', 'width': 160}]",Taylor Swift,98,artist,spotify:artist:06HL4z0CvFAxyc27GXpf02
2,{'spotify': 'https://open.spotify.com/artist/3w6zswp5THsSKYLICUbDTZ'},"{'href': None, 'total': 610563}","['acoustic pop', 'alt z', 'electropop', 'indie cafe pop', 'indie poptimism', 'indiecoustica', 'neo mellow', 'neo-singer-songwriter', 'pop', 'pop rock', 'post-teen pop', 'uk pop', 'viral pop']",https://api.spotify.com/v1/artists/3w6zswp5THsSKYLICUbDTZ,3w6zswp5THsSKYLICUbDTZ,"[{'height': 640, 'url': 'https://i.scdn.co/image/11a556e297d5cf5fec21e46522ec7bee3cf2a6de', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/cac1432f46999e068482c358916c3dd5a7bdbe72', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/71a8007c96d2ad7036b7afc566914b5fb6d51c39', 'width': 160}]",Gabrielle Aplin,68,artist,spotify:artist:3w6zswp5THsSKYLICUbDTZ
3,{'spotify': 'https://open.spotify.com/artist/7aRC4L63dBn3CiLDuWaLSI'},"{'href': None, 'total': 1507440}",['mandopop'],https://api.spotify.com/v1/artists/7aRC4L63dBn3CiLDuWaLSI,7aRC4L63dBn3CiLDuWaLSI,"[{'height': 640, 'url': 'https://i.scdn.co/image/66c509a47d50686741d621279a77e52275665330', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/082a62a7d68500c4bdf2a43d1973d6a6065f17a9', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/d3bbf5bd390c5d20b11508a1800e8f3a850c572c', 'width': 160}]",G.E.M.,70,artist,spotify:artist:7aRC4L63dBn3CiLDuWaLSI
4,{'spotify': 'https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms'},"{'href': None, 'total': 17530855}","['dance pop', 'pop', 'post-teen pop']",https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms,1HY2Jd0NmPuamShAr6KMms,"[{'height': 640, 'url': 'https://i.scdn.co/image/1f4c23aa943d8eafc17e9f02e0cb1ffc3ac49d37', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/44872ccb325d991170f6e273bc0c0ffdf7becfb1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/580f5ce43f841e22f917a07d272e9dd3b23f7512', 'width': 160}]",Lady Gaga,90,artist,spotify:artist:1HY2Jd0NmPuamShAr6KMms
