,artists,explicit,href,id,name,popularity,album_art,album_release_date,artist_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_name,genres,genre
2,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1HY2Jd0NmPuamShAr6KMms'}, 'href': 'https://api.spotify.com/v1/artists/1HY2Jd0NmPuamShAr6KMms', 'id': '1HY2Jd0NmPuamShAr6KMms', 'name': 'Lady Gaga', 'type': 'artist', 'uri': 'spotify:artist:1HY2Jd0NmPuamShAr6KMms'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4VIvfOurcf0vuLRxLkGnIG'}, 'href': 'https://api.spotify.com/v1/artists/4VIvfOurcf0vuLRxLkGnIG', 'id': '4VIvfOurcf0vuLRxLkGnIG', 'name': 'Bradley Cooper', 'type': 'artist', 'uri': 'spotify:artist:4VIvfOurcf0vuLRxLkGnIG'}]",False,https://api.spotify.com/v1/tracks/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,Shallow,84,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342,2018-10-05,"Lady Gaga, Bradley Cooper",0.572,0.385,7,-6.362,1,0.0308,0.371,0.0,0.231,0.323,95.799,Your Top Songs 2019,"['dance pop', 'pop', 'post-teen pop']",pop
3,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5a5vu4RzsAHdKN0aYyblZ8'}, 'href': 'https://api.spotify.com/v1/artists/5a5vu4RzsAHdKN0aYyblZ8', 'id': '5a5vu4RzsAHdKN0aYyblZ8', 'name': '吳青峰', 'type': 'artist', 'uri': 'spotify:artist:5a5vu4RzsAHdKN0aYyblZ8'}]",False,https://api.spotify.com/v1/tracks/5ZiMscIUd9Gozq4JFPnlJQ,5ZiMscIUd9Gozq4JFPnlJQ,"起風了 - 電視劇""加油你是最棒的""主題曲",59,https://i.scdn.co/image/ab67616d0000b273ec4409918dba3ea9c55c9f8b,2019-01-18,吳青峰,0.548,0.396,3,-7.788,1,0.0265,0.484,0.0,0.144,0.501,73.963,Your Top Songs 2019,"['chinese indie', 'mandopop', 'taiwan singer-songwriter']",chinese indie
4,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4MXUO7sVCaFgFjoTI5ox5c'}, 'href': 'https://api.spotify.com/v1/artists/4MXUO7sVCaFgFjoTI5ox5c', 'id': '4MXUO7sVCaFgFjoTI5ox5c', 'name': 'Sufjan Stevens', 'type': 'artist', 'uri': 'spotify:artist:4MXUO7sVCaFgFjoTI5ox5c'}]",False,https://api.spotify.com/v1/tracks/5c9qm0bMYawSyRNUTmUMs5,5c9qm0bMYawSyRNUTmUMs5,Visions of Gideon,59,https://i.scdn.co/image/ab67616d0000b273066d0a5c0b2603ac06da7fea,2017-11-03,Sufjan Stevens,0.252,0.314,5,-18.197,0,0.0407,0.942,0.676,0.0892,0.2,75.056,Your Top Songs 2019,"['baroque pop', 'chamber pop', 'freak folk', 'indie folk', 'singer-songwriter']",indie folk
5,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3w6zswp5THsSKYLICUbDTZ'}, 'href': 'https://api.spotify.com/v1/artists/3w6zswp5THsSKYLICUbDTZ', 'id': '3w6zswp5THsSKYLICUbDTZ', 'name': 'Gabrielle Aplin', 'type': 'artist', 'uri': 'spotify:artist:3w6zswp5THsSKYLICUbDTZ'}]",False,https://api.spotify.com/v1/tracks/4NkIYlfobkqS2hALHTIUV9,4NkIYlfobkqS2hALHTIUV9,Waking up Slow - Piano Version,61,https://i.scdn.co/image/ab67616d0000b2731e50a2f44300d2adf0ebe903,2017-09-01,Gabrielle Aplin,0.641,0.264,6,-6.97,1,0.0364,0.923,0.0,0.0983,0.357,101.18,Your Top Songs 2019,"['acoustic pop', 'alt z', 'electropop', 'indie cafe pop', 'indie poptimism', 'indiecoustica', 'neo mellow', 'neo-singer-songwriter', 'pop', 'pop rock', 'post-teen pop', 'uk pop', 'viral pop']",pop
6,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/47wB3vlOd130dM3k5fADQw'}, 'href': 'https://api.spotify.com/v1/artists/47wB3vlOd130dM3k5fADQw', 'id': '47wB3vlOd130dM3k5fADQw', 'name': 'Russian Red', 'type': 'artist', 'uri': 'spotify:artist:47wB3vlOd130dM3k5fADQw'}]",False,https://api.spotify.com/v1/tracks/0IIsHvuYvZsIEqJZh8zQjS,0IIsHvuYvZsIEqJZh8zQjS,I Want to Break Free,42,https://i.scdn.co/image/ab67616d0000b27313a0a502d72e743d12ab2acd,2017-04-14,Russian Red,0.258,0.341,2,-9.545,1,0.0471,0.295,0.00232,0.127,0.349,176.014,Your Top Songs 2019,"['spanish indie folk', 'spanish indie pop']",spanish indie folk
7,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6eUKZXaKkcviH0Ku9w2n3V'}, 'href': 'https://api.spotify.com/v1/artists/6eUKZXaKkcviH0Ku9w2n3V', 'id': '6eUKZXaKkcviH0Ku9w2n3V', 'name': 'Ed Sheeran', 'type': 'artist', 'uri': 'spotify:artist:6eUKZXaKkcviH0Ku9w2n3V'}]",False,https://api.spotify.com/v1/tracks/1HNkqx9Ahdgi1Ixy2xkKkL,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,83,https://i.scdn.co/image/ab67616d0000b27313b3e37318a0c247b550bccd,2014-06-21,Ed Sheeran,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,Your Top Songs 2019,"['pop', 'uk pop']",pop
8,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we'}, 'href': 'https://api.spotify.com/v1/artists/6M2wZ9GZgrQXHCFfjv46we', 'id': '6M2wZ9GZgrQXHCFfjv46we', 'name': 'Dua Lipa', 'type': 'artist', 'uri': 'spotify:artist:6M2wZ9GZgrQXHCFfjv46we'}]",False,https://api.spotify.com/v1/tracks/5E5MqaS6eOsbaJibl3YeMZ,5E5MqaS6eOsbaJibl3YeMZ,Homesick,67,https://i.scdn.co/image/ab67616d0000b2736b915e407b70e121e06fe979,2017-06-02,Dua Lipa,0.426,0.224,6,-8.683,1,0.0391,0.948,0.0,0.112,0.399,85.728,Your Top Songs 2019,"['dance pop', 'pop', 'uk pop']",pop
9,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/47wB3vlOd130dM3k5fADQw'}, 'href': 'https://api.spotify.com/v1/artists/47wB3vlOd130dM3k5fADQw', 'id': '47wB3vlOd130dM3k5fADQw', 'name': 'Russian Red', 'type': 'artist', 'uri': 'spotify:artist:47wB3vlOd130dM3k5fADQw'}]",False,https://api.spotify.com/v1/tracks/0PpDlU1d96vDp1xTOp3fCj,0PpDlU1d96vDp1xTOp3fCj,Loving Strangers,41,https://i.scdn.co/image/ab67616d0000b273afb687600d50b03cf5290131,2011,Russian Red,0.601,0.198,1,-9.794,1,0.028,0.863,0.000367,0.107,0.201,103.8,Your Top Songs 2019,"['spanish indie folk', 'spanish indie pop']",spanish indie folk
10,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0g1Asm2LdQJa6EjUmucdxt'}, 'href': 'https://api.spotify.com/v1/artists/0g1Asm2LdQJa6EjUmucdxt', 'id': '0g1Asm2LdQJa6EjUmucdxt', 'name': '刺猬Hedgehog', 'type': 'artist', 'uri': 'spotify:artist:0g1Asm2LdQJa6EjUmucdxt'}]",False,https://api.spotify.com/v1/tracks/0SktUR1uEOCAW8eFqyQ4VC,0SktUR1uEOCAW8eFqyQ4VC,"火車駛向雲外,夢安魂於九霄",21,https://i.scdn.co/image/ab67616d0000b2732c26ad90acff4df7eae082f2,2018-04-25,刺猬Hedgehog,0.338,0.807,0,-4.683,1,0.0409,0.00995,3.71e-05,0.4,0.272,142.009,Your Top Songs 2019,"['chinese indie', 'chinese indie rock', 'sinogaze']",chinese indie
11,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0rZp7G3gIH6WkyeXbrZnGi'}, 'href': 'https://api.spotify.com/v1/artists/0rZp7G3gIH6WkyeXbrZnGi', 'id': '0rZp7G3gIH6WkyeXbrZnGi', 'name': 'Novo Amor', 'type': 'artist', 'uri': 'spotify:artist:0rZp7G3gIH6WkyeXbrZnGi'}]",False,https://api.spotify.com/v1/tracks/0u4rkpmNtgcFxYHepnVF4v,0u4rkpmNtgcFxYHepnVF4v,Carry You,67,https://i.scdn.co/image/ab67616d0000b273277620423172f5a151f452e3,2017-05-26,Novo Amor,0.334,0.397,7,-7.993,1,0.0284,0.558,0.0774,0.126,0.035,93.445,Your Top Songs 2019,"['ambient folk', 'indie folk']",indie folk
