month_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2018-07,0.7476635514018695,0.46359832635983267,0.23076923076923078,0.6950075812882573,1.0,0.0,0.2518966196604676,0.0,0.130233693487673,0.0,0.5104166452417043
2018-08,0.5417890520694255,0.6885355648535564,0.9076923076923078,0.5939012747795809,0.75,0.2083943387018059,0.3058399791330214,0.28111440465100257,0.0930405848118504,0.3062235936387372,0.4646537486142335
2018-09,0.4552736982643524,0.28580851587496936,0.47511312217194573,0.26121915043323995,0.4117647058823529,0.26741882697442076,0.8728851046270698,0.3294399680513837,0.07318007691790307,0.26604068639086287,0.3919732432569445
2018-10,0.7438402718776549,0.4809128946367438,0.7062937062937065,0.5385420442420499,0.48863636363636365,0.2953769022583078,0.5959858310390252,0.18488079424280027,0.07072997534474723,0.5262499190816303,0.28789296730834346
2018-11,0.6908698777857658,0.643707756678468,0.4714003944773176,0.8483439960948803,0.5833333333333333,0.8182853424434685,0.4098282842900995,0.06365616487472638,0.46980425563875583,0.5574016931719279,0.060092153970510376
2018-12,0.6779706275033381,0.6982426778242675,0.23076923076923078,0.6315718537653732,0.0,0.13323572474377743,0.43592561144132,0.2552317515165629,0.06775697932859698,0.48445288393069075,0.1555287714960929
2019-01,1.0000000000000002,0.0,1.0,0.5813444151176501,1.0,0.16837481698389467,1.0,0.0,0.09747292418772563,0.5831948730121053,0.24591263140357822
2019-02,0.4480068662979213,0.3634987049212991,0.39926739926739924,0.3485360224844696,0.4642857142857142,0.29212856445652935,0.7359460397270697,0.2769318350323951,0.044780392725457446,0.2503226973200864,0.08824919909818263
2019-03,0.4763017356475301,0.22,0.36538461538461536,0.524007412815185,0.84375,0.37182772083943394,0.7856348056762623,0.003668368030554357,0.02371301566093248,0.22101234274863502,0.0
2019-04,0.4176234979973299,0.46359832635983245,0.26153846153846155,0.281069242432751,0.375,0.2837969741337235,0.6600147622773865,0.23846187453083145,0.04482444081863379,0.34698552100640856,0.20831932997801283
2019-05,0.7684184973904602,0.8436667934575885,0.1608391608391609,0.8186463954420375,0.5454545454545454,0.6697280269754647,0.33271075471764744,0.05577356709961782,0.09057038776837845,0.6889778391558594,0.10400116078108157
2019-06,0.6543391188251,0.4185774058577405,0.5076923076923077,0.49792778120963654,0.625,0.1959492435334309,0.6668997552569802,0.0040492886911587325,0.06498194945848379,0.3673510562544504,0.12991260672202198
2019-07,0.44554644287621614,0.4232755528989838,0.3956043956043956,0.3058829192372179,0.8214285714285714,0.5884403541797391,0.7455449555744247,1.0,0.044945573074868905,0.5299888101454682,0.04348625810267581
