,artists,explicit,href,id,name,popularity,album_art,album_release_date,artist_names
44,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3AhsxbcW6Bscf7xIPK02YK'}, 'href': 'https://api.spotify.com/v1/artists/3AhsxbcW6Bscf7xIPK02YK', 'id': '3AhsxbcW6Bscf7xIPK02YK', 'name': 'Ida Mae', 'type': 'artist', 'uri': 'spotify:artist:3AhsxbcW6Bscf7xIPK02YK'}]",False,https://api.spotify.com/v1/tracks/57vqKqFQG26BpJWShvMfsC,57vqKqFQG26BpJWShvMfsC,Raining for You,44,https://i.scdn.co/image/ab67616d0000b273443fea4afad6418bf90c39e0,2020-10-14,Ida Mae
45,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/73s0o3W8ycCcK4hRjuGNrj'}, 'href': 'https://api.spotify.com/v1/artists/73s0o3W8ycCcK4hRjuGNrj', 'id': '73s0o3W8ycCcK4hRjuGNrj', 'name': 'Morgan Harper-Jones', 'type': 'artist', 'uri': 'spotify:artist:73s0o3W8ycCcK4hRjuGNrj'}]",False,https://api.spotify.com/v1/tracks/14FtZQjGoC4vt5Jj2zGtm8,14FtZQjGoC4vt5Jj2zGtm8,Breathe,44,https://i.scdn.co/image/ab67616d0000b27317ed41410f1cac3b2637ac01,2020-01-22,Morgan Harper-Jones
46,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2aBpZ2C5sQ8eZuHG7xLEAt'}, 'href': 'https://api.spotify.com/v1/artists/2aBpZ2C5sQ8eZuHG7xLEAt', 'id': '2aBpZ2C5sQ8eZuHG7xLEAt', 'name': 'Link Lewis', 'type': 'artist', 'uri': 'spotify:artist:2aBpZ2C5sQ8eZuHG7xLEAt'}]",False,https://api.spotify.com/v1/tracks/7LiJ0JzkwqfPUVS5mOHwBs,7LiJ0JzkwqfPUVS5mOHwBs,Moments,49,https://i.scdn.co/image/ab67616d0000b273801133d42421e0e6c3385d84,2020-11-19,Link Lewis
47,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6AyATGg7mDgBlZ4N5uNog0'}, 'href': 'https://api.spotify.com/v1/artists/6AyATGg7mDgBlZ4N5uNog0', 'id': '6AyATGg7mDgBlZ4N5uNog0', 'name': 'SYML', 'type': 'artist', 'uri': 'spotify:artist:6AyATGg7mDgBlZ4N5uNog0'}]",False,https://api.spotify.com/v1/tracks/7alvRZv61aCjEYyaqImXdy,7alvRZv61aCjEYyaqImXdy,Take Me Apart,49,https://i.scdn.co/image/ab67616d0000b2730e5e0cb89840031ba5e01533,2019-11-29,SYML
48,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/7yHBGaYHPXkJSVUtHiM816'}, 'href': 'https://api.spotify.com/v1/artists/7yHBGaYHPXkJSVUtHiM816', 'id': '7yHBGaYHPXkJSVUtHiM816', 'name': 'To Kill A King', 'type': 'artist', 'uri': 'spotify:artist:7yHBGaYHPXkJSVUtHiM816'}]",False,https://api.spotify.com/v1/tracks/159gsxE8mN43gh6mjw7Lrs,159gsxE8mN43gh6mjw7Lrs,Wounded,41,https://i.scdn.co/image/ab67616d0000b27381a51dabb6ac020bf2f18d1a,2020-11-20,To Kill A King
49,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/19OAtq7pNHnBRKJORFeahx'}, 'href': 'https://api.spotify.com/v1/artists/19OAtq7pNHnBRKJORFeahx', 'id': '19OAtq7pNHnBRKJORFeahx', 'name': 'Hayden Calnin', 'type': 'artist', 'uri': 'spotify:artist:19OAtq7pNHnBRKJORFeahx'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/5Ld19xtpAR80G2boTcHaVx'}, 'href': 'https://api.spotify.com/v1/artists/5Ld19xtpAR80G2boTcHaVx', 'id': '5Ld19xtpAR80G2boTcHaVx', 'name': 'Harrison Storm', 'type': 'artist', 'uri': 'spotify:artist:5Ld19xtpAR80G2boTcHaVx'}]",False,https://api.spotify.com/v1/tracks/4flzJidayFMx0GwsnBII53,4flzJidayFMx0GwsnBII53,Unfortunate Love (feat. Harrison Storm),47,https://i.scdn.co/image/ab67616d0000b273849b2c2a739a832fcbd79365,2020-05-01,"Hayden Calnin, Harrison Storm"
50,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6DWp3hFGq7c3nyQ3AT7RDF'}, 'href': 'https://api.spotify.com/v1/artists/6DWp3hFGq7c3nyQ3AT7RDF', 'id': '6DWp3hFGq7c3nyQ3AT7RDF', 'name': 'Malaki', 'type': 'artist', 'uri': 'spotify:artist:6DWp3hFGq7c3nyQ3AT7RDF'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7CgEbzJc53hDnSinf4oUij'}, 'href': 'https://api.spotify.com/v1/artists/7CgEbzJc53hDnSinf4oUij', 'id': '7CgEbzJc53hDnSinf4oUij', 'name': 'Matthew Harris', 'type': 'artist', 'uri': 'spotify:artist:7CgEbzJc53hDnSinf4oUij'}]",True,https://api.spotify.com/v1/tracks/2ANTihBMOmybgVfolMGbXP,2ANTihBMOmybgVfolMGbXP,Someone Like You 2,45,https://i.scdn.co/image/ab67616d0000b27309dcf0ad002a4c73bc34e9f8,2020-10-29,"Malaki, Matthew Harris"
51,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2J1sJydvX10ir67gz54cdW'}, 'href': 'https://api.spotify.com/v1/artists/2J1sJydvX10ir67gz54cdW', 'id': '2J1sJydvX10ir67gz54cdW', 'name': 'MAVICA', 'type': 'artist', 'uri': 'spotify:artist:2J1sJydvX10ir67gz54cdW'}]",False,https://api.spotify.com/v1/tracks/1SckN4ta2LyUWrbqiy8nAd,1SckN4ta2LyUWrbqiy8nAd,Fire,49,https://i.scdn.co/image/ab67616d0000b273f6662d7d13096a2813330a8b,2018-10-19,MAVICA
52,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2fR4D8OveDTHMvCvm7paAO'}, 'href': 'https://api.spotify.com/v1/artists/2fR4D8OveDTHMvCvm7paAO', 'id': '2fR4D8OveDTHMvCvm7paAO', 'name': 'Nick Leng', 'type': 'artist', 'uri': 'spotify:artist:2fR4D8OveDTHMvCvm7paAO'}]",False,https://api.spotify.com/v1/tracks/5rTjMOVDiXDxkJavr2GxEL,5rTjMOVDiXDxkJavr2GxEL,Lonely Shade of Blue,52,https://i.scdn.co/image/ab67616d0000b273bc50d2cbac389b26e5673225,2020-04-24,Nick Leng
53,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1QnifH4HAt0yWP9A9IcoMK'}, 'href': 'https://api.spotify.com/v1/artists/1QnifH4HAt0yWP9A9IcoMK', 'id': '1QnifH4HAt0yWP9A9IcoMK', 'name': 'Winnie Raeder', 'type': 'artist', 'uri': 'spotify:artist:1QnifH4HAt0yWP9A9IcoMK'}]",False,https://api.spotify.com/v1/tracks/53hYNUvhdOUzzXJE2CsPHv,53hYNUvhdOUzzXJE2CsPHv,A Quiet Way,42,https://i.scdn.co/image/ab67616d0000b2734466986d63d2039740cce5f9,2020-05-27,Winnie Raeder
